"title","year","sound","resolution"
"(500) Days of Summer (2009)","2009","DTS","1920x1080"
"2 Fast 2 Furious (2003)","2003","AC-3","720x576"
"2012 (2009)","2012","DTS","1920x1080"
"22 Jump Street (2014)","2014","AC-3","720x576"
"7 Miljon?rer (2006)","2006","AC-3","720x576"
"8 Mile (2002)","2002","AC-3","720x576"
"Adam & Eva (1997)","1997","AC-3","720x576"
"Agent 007 med r?tt att d?da (1962)","1962","AC-3","720x576"
"Agent 007 ser r?tt (1963)","1963","AC-3","720x576"
"Albert & Herbets Jul (1982)","1982","AC-3","720x576"
"Ali G Indahouse (2002)","2002","AC-3","720x576"
"Aloha Scooby Doo (2005)","2005","AC-3","720x576"
"Alvin och g?nget (2007)","2007","AAC","720x576"
"American Gangster (2007)","2007","AC-3","720x576"
"American Pie - The Wedding (2003)","2003","AC-3","720x576"
"American Pie Presents The Naked Mile (2006)","2006","AC-3","720x576"
"Andra sidan h?cken (2006)","2006","AAC","720x576"
"Arthur and the Invisibles 2 Arthur and the Revenge of Maltazard (2009)","2009","AAC","720x576"
"Bad Neighbours 2 (2016)","2016","AC-3","720x576"
"Barnaskrik och j?kelskap (2003)","2003","AC-3","720x576"
"Bean - Den totala katastroffilmen (1997)","1997","MPEG Audio","720x576"
"Beck ? Familjen (2015)","2015","DTS","1920x1080"
"Beck ? H?mndens pris (2001)","2001","AC-3","720x576"
"Beck ? Kartellen (2001)","2001","AC-3","720x576"
"Beck ? Sjukhusmorden (2015)","2015","DTS","1920x1080"
"Beck mannen utan ansikte (2001)","2001","AC-3","720x576"
"Bee Movie (2007)","2007","AC-3","720x576"
"Big Momma's House (2000)","2000","AC-3","720x576"
"Bilar (2006)","2006","AC-3","720x576"
"Bilar 2 (2011)","2011","AC-3","720x576"
"Blazing Saddles (1974)","1974","AAC","720x576"
"Bolt (2008)","2008","AC-3","720x576"
"Bondg?rden (2006)","2006","AC-3","720x576"
"Boog & Elliot ? Vilda v?nner (2006)","2006","AAC","720x576"
"Boog & Elliot 2 ? Vilda v?nner mot husdjuren (2008)","2008","AAC","720x576"
"Boog & Elliot 3 - Cirkusv?nner (2011)","2011","AC-3","720x576"
"Borat (2006)","2006","AAC","720x576"
"Bortspolad (2006)","2006","AC-3","720x576"
"Br?llopsfotografen (2009)","2009","AAC","720x576"
"Cannonball Run (1981)","1981","AC-3","720x576"
"Casino Royale (2006)","2006","AC-3","720x576"
"Chicken Run (2000)","2000","DTS","1920x1080"
"Clueless (1995)","1995","AC-3","720x576"
"Cockpit (2012)","2012","AC-3","720x576"
"Coco Chanel (2008)","2008","AC-3","720x576"
"Cornelis (2010)","2010","AAC","720x576"
"Countdown to Christmas (2002)","2002","AC-3","720x576"
"curious george old mcgeorgie had a farm (2011)","2011","AC-3","720x576"
"Curious George The Big Sleepy and other adventures (2011)","2011","AC-3","720x576"
"Dagboken ? Jag s?kte dig och fann mitt hj?rta (2004)","2004","AC-3","1920x1080"
"Den ofrivillige golfaren (1991)","1991","AC-3","720x576"
"Det v?ras f?r Frankenstein (1974)","1974","AAC","720x576"
"Die Another Day (2002)","2002","AC-3","720x576"
"Dogma (1999)","1999","AC-3","720x576"
"Don't Try This at Home The Steve-O Video (2001)","2001","AC-3","720x576"
"Draktr?naren (2010)","2010","MLP FBA","1920x1080"
"Draktr?naren 2 (2014)","2014","DTS","1920x1080"
"Draktr?naren 3 (2019)","2019","MLP FBA","1920x1080"
"En G?ng I Phuket (2011)","2011","AAC","1920x1080"
"EN HELKV?LL MED TIMON & PUMBAA (1996)","1996","AC-3","720x576"
"En ov?ntad v?nskap (2011)","2011","AAC","1920x1080"
"Eva & Adam ? fyra f?delsedagar och ett fiasko (2001)","2001","AC-3","720x576"
"F9 The Fast Saga (2021)","2021","AC-3","720x576"
"Farsan (2010)","2010","DTS","1920x1080"
"Fast & Furious 4 (2009)","2009","AAC","720x576"
"Fast & Furious 6 (2013)","2013","DTS","1920x1080"
"Fast & Furious 7 (2015)","2015","DTS","1920x1080"
"Fast & Furious 8 (2017)","2017","AC-3","720x576"
"Fast & Furious Hobbs & Shaw (2019)","2019","AC-3","720x576"
"Fast Five (2011)","2011","AC-3","720x576"
"Fast X (2023)","2023","MLP FBA","1920x1080"
"Fight Club (1999)","1999","DTS","1920x1080"
"Forrest Gump (1994)","1994","AAC","720x576"
"Four Lions (2010)","2010","DTS","1920x1040"
"F?rortsungar (2006)","2006","AC-3","720x576"
"Garden State (2004)","2004","AC-3","1920x1080"
"Greven av Monte Cristo (2002)","2002","AAC","720x576"
"Grown Ups (2010)","2010","AC-3","720x576"
"Gudfadern (1972)","1972","AC-3","1920x1080"
"Gudfadern del II (1974)","1974","AC-3","1920x1080"
"Gudfadern del III (1990)","1990","AC-3","1920x1080"
"Gustaf (2004)","2004","AC-3","720x576"
"Hata G?teborg (2007)","2007","AC-3","720x576"
"Herbie Fully Loaded (2005)","2005","AC-3","720x576"
"Herr Peabody & Sherman (2014)","2014","DTS","1920x1080"
"High School Musical (2006)","2006","AC-3","720x576"
"High School Musical 2 (2007)","2007","AC-3","720x576"
"Hip hip hora! (2004)","2004","AC-3","720x576"
"Holiday Fun With Mr Bean (2011)","2011","AAC","720x576"
"Horton Hears a Who! (2008)","2008","AC-3","720x576"
"Hunger Games (2012)","2012","AC-3","720x576"
"Hur m?nga kramar finns det i v?rlden (2013)","2013","AC-3","720x576"
